city,code,total_pop,country_code,country,wage,wealth_per_adult
London,UK001K2,8533915.0,UK,United Kingdom,4153.392857142857,97.452
Paris,FR001C1,9735003.0,FR,France,3462.4053571428576,101.942
Madrid,ES001C1,3198292.0,ES,Spain,2670.744642857143,95.36
Barcelona,ES002C1,1615264.4,ES,Spain,2670.744642857143,95.36
Berlin,DE001C1,3489645.5,DE,Germany,3560.155555555556,35.313
Milan,IT002C1,1317120.4,IT,Italy,2837.1321428571428,91.889
Rome,IT001C1,2780913.8,IT,Italy,2837.1321428571428,91.889
Prague,CZ001C1,1269683.9,CZ,Czech Republic,1114.9379999999999,20.854
Lisbon,PT001C1,516335.3,PT,Portugal,1722.041304347826,44.025
Vienna,AT001C1,1753996.0,AT,Austria,3809.8732142857143,94.07
Amsterdam,NL002C2,828107.2,NL,Netherlands,4342.058928571429,31.057
Brussels,BE001C1,1185836.4,BE,Belgium,4088.4964285714286,117.093
Hamburg,DE002C1,1779738.8,DE,Germany,3560.155555555556,35.313
Munich,DE003C1,1420673.6,DE,Germany,3560.155555555556,35.313
Lyon,FR003C2,1051973.8,FR,France,3462.4053571428576,101.942
Stockholm,SE001C1,916568.0,SE,Sweden,3958.0374999999995,41.582
Budapest,HU001C1,1745406.6,HU,Hungary,1021.2392857142856,17.666
Warsaw,PL001C1,1720963.5,PL,Poland,1039.353846153846,22.6
Dublin,IE001C1,516255.0,IE,Ireland,4784.212500000001,104.842
Copenhagen,DK001C1,549344.0,DK,Denmark,5194.1732142857145,58.784
Athens,EL001C1,664046.0,EL,Greece,2146.808695652174,40.0
Edinburgh,UK007C1,494608.88,UK,United Kingdom,4153.392857142857,97.452
Zurich,CH001C1,389465.88,CH,Switzerland,6756.523214285715,227.891
Oporto,PT002C1,221430.0,PT,Portugal,1722.041304347826,44.025
Geneva,CH002C1,193557.25,CH,Switzerland,6756.523214285715,227.891
Krakow,PL003C1,759584.0,PL,Poland,1039.353846153846,22.6
Oslo,NO001C1,612160.3,NO,Norway,5650.310714285715,70.627
Helsinki,FI001C2,626198.4,FI,Finland,3753.2589285714284,55.532
Bratislava,SK001C1,420928.78,SK,Slovakia,1078.4458333333332,40.432
Luxembourg,LU001C1,105385.336,LU,Luxembourg,5602.3035714285725,139.789
Ljubljana,SI001C1,285445.0,SI,Slovenia,2307.8625,50.38
